country_code;country_name;year;security_index;life_expectancy;co2_emissions;urban_population_in_slums;renewable_energy;
UGA;Uganda;2020;69.98000;66.41;6.79;54.01;358230000;
ARE;United Arab Emirates;2020;98.06000;81.94;195.49;0.23;5194710000;
GBR;United Kingdom;2020;99.54000;80.33;319.01;0.10;127834000000;
USA;United States;2020;100.00000;76.98;4466.04;0.15;540247930000;
URY;Uruguay;2020;75.15000;78.38;6.90;1.30;8647440000;
UZB;Uzbekistan;2020;71.11000;71.46;123.04;4.53;16800000;
VUT;Vanuatu;2020;12.88000;70.39;0.25;4.15;14250000;
VNM;Viet Nam;2020;94.55000;75.38;352.06;5.77;12913970000;
YEM;Yemen, Rep.;2020;0.00000;66.44;11.50;44.20;497320000;
ZMB;Zambia;2020;68.88000;63.36;7.48;48.26;240550000;
ZWE;Zimbabwe;2020;36.49000;61.53;9.07;21.57;251220000;
